id;bank_account_no;bank_account_name;bank_branch;status
1;superstructure;Kids;microchip;M
2;circuit Forward;frictionless solution-oriented;distributed Computers;M
3;SQL lavender;transmit Wooden COM;Agent Squares;s
4;Bedfordshire;Peru withdrawal Down-sized;invoice;L
5;Lari;Sports Global Soft;Bedfordshire Awesome Cotton Tuna;c
6;Wooden;Future;pixel Phased payment;T
7;seize generate;Fantastic Wooden Chips microchip;Generic;B
8;International card;West Virginia Keys;Factors Soft;b
9;Soap;Refined Granite Sausages Savings Account extensible;Course robust bricks-and-clicks;B
10;Forge Licensed;auxiliary;Engineer Toys Fantastic;L
