id;bank_account_no;bank_account_name;bank_branch;status
1;Marketing mobile Cayman Islands Dollar;Computer Uzbekistan;input invoice calculate;P
2;deposit Rand Namibia Dollar;Branding;Handcrafted Rubber Sausages;T
3;Metal;complexity Direct Administrator;online program Refined Granite Gloves;q
4;one-to-one Connecticut;Unbranded Tugrik;models streamline;p
5;withdrawal alarm Timor-Leste;Personal Loan Account Inverse;Track;B
6;Data Tasty Steel Pants Licensed Steel Shirt;Manor;Utah zero defect;b
7;Russian Federation program;Practical;emulation SQL;P
8;Fantastic whiteboard;lavender;neural Cloned Massachusetts;S
9;Officer parse;Intuitive;quantifying Phased connecting;A
10;architect;lavender;copying primary invoice;E
