id;bank_account_no;bank_account_name;bank_branch;status
1;Generic Advanced;HDD Security Virginia;solid state Clothing deposit;M
2;Unbranded programming District;Concrete;Pizza yellow programming;F
3;Persistent Investment Account;Handmade Plastic Mouse neural;Money Market Account;s
4;JSON National;interactive capacitor;Idaho Grocery;C
5;Automotive frame;Indiana deposit Electronics;Bedfordshire Strategist;T
6;Zimbabwe;Bedfordshire;application scale;i
7;Expressway;Tools Street;Arkansas reciprocal;M
8;Borders hack;Pants;Tasty navigate didactic;p
9;calculating;withdrawal Toys white;olive;K
10;Florida THX Idaho;Licensed Visionary pixel;neural Markets Branding;m
